p_id,p_name,p_college,p_college,country,p_id,p_height
0,Travis Knight                                                                                                                                                                                                                                                   ,Connecticut                                                                                                                                                                                                                                                     ,Connecticut                                                                                                                                                                                                                                                     ,USA                                                                                                                                                                                                                                                             ,0,213
1,Matt Fish                                                                                                                                                                                                                                                       ,North Carolina-Wilmington                                                                                                                                                                                                                                       ,North Carolina-Wilmington                                                                                                                                                                                                                                       ,USA                                                                                                                                                                                                                                                             ,1,210
2,Matt Bullard                                                                                                                                                                                                                                                    ,Iowa                                                                                                                                                                                                                                                            ,Iowa                                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,2,208
3,Marty Conlon                                                                                                                                                                                                                                                    ,Providence                                                                                                                                                                                                                                                      ,Providence                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,3,210
5,Martin Lewis                                                                                                                                                                                                                                                    ,Seward County Community College                                                                                                                                                                                                                                 ,Seward County Community College                                                                                                                                                                                                                                 ,USA                                                                                                                                                                                                                                                             ,5,198
6,Mark West                                                                                                                                                                                                                                                       ,Old Dominion                                                                                                                                                                                                                                                    ,Old Dominion                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,6,208
7,Mark Strickland                                                                                                                                                                                                                                                 ,Temple                                                                                                                                                                                                                                                          ,Temple                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,7,208
8,Mark Price                                                                                                                                                                                                                                                      ,Georgia Tech                                                                                                                                                                                                                                                    ,Georgia Tech                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,8,182
9,Mark Jackson                                                                                                                                                                                                                                                    ,St. John's (NY)                                                                                                                                                                                                                                                 ,St. John's (NY)                                                                                                                                                                                                                                                 ,USA                                                                                                                                                                                                                                                             ,9,190
10,Mark Hendrickson                                                                                                                                                                                                                                                ,Washington State                                                                                                                                                                                                                                                ,Washington State                                                                                                                                                                                                                                                ,USA                                                                                                                                                                                                                                                             ,10,205
11,Mark Davis                                                                                                                                                                                                                                                      ,Texas Tech                                                                                                                                                                                                                                                      ,Texas Tech                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,11,200
12,Mark Bryant                                                                                                                                                                                                                                                     ,Seton Hall                                                                                                                                                                                                                                                      ,Seton Hall                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,12,205
14,Mario Elie                                                                                                                                                                                                                                                      ,American International                                                                                                                                                                                                                                          ,American International                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,14,195
15,Marcus Camby                                                                                                                                                                                                                                                    ,Massachusetts                                                                                                                                                                                                                                                   ,Massachusetts                                                                                                                                                                                                                                                   ,USA                                                                                                                                                                                                                                                             ,15,210
16,Marcus Brown                                                                                                                                                                                                                                                    ,Murray State                                                                                                                                                                                                                                                    ,Murray State                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,16,190
18,Malik Rose                                                                                                                                                                                                                                                      ,Drexel                                                                                                                                                                                                                                                          ,Drexel                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,18,200
19,Mahmoud Abdul-Rauf                                                                                                                                                                                                                                              ,Louisiana State                                                                                                                                                                                                                                                 ,Louisiana State                                                                                                                                                                                                                                                 ,USA                                                                                                                                                                                                                                                             ,19,185
20,Lucious Harris                                                                                                                                                                                                                                                  ,Long Beach State                                                                                                                                                                                                                                                ,Long Beach State                                                                                                                                                                                                                                                ,USA                                                                                                                                                                                                                                                             ,20,195
21,Luc Longley                                                                                                                                                                                                                                                     ,New Mexico                                                                                                                                                                                                                                                      ,New Mexico                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,21,218
22,Loy Vaught                                                                                                                                                                                                                                                      ,Michigan                                                                                                                                                                                                                                                        ,Michigan                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,22,205
25,Matt Maloney                                                                                                                                                                                                                                                    ,Pennsylvania                                                                                                                                                                                                                                                    ,Pennsylvania                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,25,190
26,Matt Steigenga                                                                                                                                                                                                                                                  ,Michigan State                                                                                                                                                                                                                                                  ,Michigan State                                                                                                                                                                                                                                                  ,USA                                                                                                                                                                                                                                                             ,26,200
27,Melvin Booker                                                                                                                                                                                                                                                   ,Missouri                                                                                                                                                                                                                                                        ,Missouri                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,27,187
28,Pervis Ellison                                                                                                                                                                                                                                                  ,Louisville                                                                                                                                                                                                                                                      ,Louisville                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,28,205
29,Patrick Ewing                                                                                                                                                                                                                                                   ,Georgetown                                                                                                                                                                                                                                                      ,Georgetown                                                                                                                                                                                                                                                      ,Jamaica                                                                                                                                                                                                                                                         ,29,213
30,P.J. Brown                                                                                                                                                                                                                                                      ,Louisiana Tech                                                                                                                                                                                                                                                  ,Louisiana Tech                                                                                                                                                                                                                                                  ,USA                                                                                                                                                                                                                                                             ,30,210
33,Oliver Miller                                                                                                                                                                                                                                                   ,Arkansas                                                                                                                                                                                                                                                        ,Arkansas                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,33,205
34,Olden Polynice                                                                                                                                                                                                                                                  ,Virginia                                                                                                                                                                                                                                                        ,Virginia                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,34,213
35,Nick Van Exel                                                                                                                                                                                                                                                   ,Cincinnati                                                                                                                                                                                                                                                      ,Cincinnati                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,35,185
36,Nick Anderson                                                                                                                                                                                                                                                   ,Illinois                                                                                                                                                                                                                                                        ,Illinois                                                                                                                                                                                                                                                        ,USA                                                                                                                                                                                                                                                             ,36,198
37,Nate McMillan                                                                                                                                                                                                                                                   ,North Carolina State                                                                                                                                                                                                                                            ,North Carolina State                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,37,195
38,Nate Driggers                                                                                                                                                                                                                                                   ,Montevallo                                                                                                                                                                                                                                                      ,Montevallo                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,38,195
39,Lorenzo Williams                                                                                                                                                                                                                                                ,Stetson                                                                                                                                                                                                                                                         ,Stetson                                                                                                                                                                                                                                                         ,USA                                                                                                                                                                                                                                                             ,39,205
40,Muggsy Bogues                                                                                                                                                                                                                                                   ,Wake Forest                                                                                                                                                                                                                                                     ,Wake Forest                                                                                                                                                                                                                                                     ,USA                                                                                                                                                                                                                                                             ,40,160
41,Moochie Norris                                                                                                                                                                                                                                                  ,West Florida                                                                                                                                                                                                                                                    ,West Florida                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,41,187
42,Monty Williams                                                                                                                                                                                                                                                  ,Notre Dame                                                                                                                                                                                                                                                      ,Notre Dame                                                                                                                                                                                                                                                      ,USA                                                                                                                                                                                                                                                             ,42,203
43,Mitchell Butler                                                                                                                                                                                                                                                 ,UCLA                                                                                                                                                                                                                                                            ,UCLA                                                                                                                                                                                                                                                            ,USA                                                                                                                                                                                                                                                             ,43,195
44,Mitch Richmond                                                                                                                                                                                                                                                  ,Kansas State                                                                                                                                                                                                                                                    ,Kansas State                                                                                                                                                                                                                                                    ,USA                                                                                                                                                                                                                                                             ,44,195
45,Mike Brown                                                                                                                                                                                                                                                      ,George Washington                                                                                                                                                                                                                                               ,George Washington                                                                                                                                                                                                                                               ,USA                                                                                                                                                                                                                                                             ,45,208
47,Michael Jordan                                                                                                                                                                                                                                                  ,North Carolina                                                                                                                                                                                                                                                  ,North Carolina                                                                                                                                                                                                                                                  ,USA                                                                                                                                                                                                                                                             ,47,198
48,Michael Hawkins                                                                                                                                                                                                                                                 ,Xavier                                                                                                                                                                                                                                                          ,Xavier                                                                                                                                                                                                                                                          ,USA                                                                                                                                                                                                                                                             ,48,182
49,Michael Finley                                                                                                                                                                                                                                                  ,Wisconsin                                                                                                                                                                                                                                                       ,Wisconsin                                                                                                                                                                                                                                                       ,USA                                                                                                                                                                                                                                                             ,49,200
50,Michael Curry                                                                                                                                                                                                                                                   ,Georgia Southern                                                                                                                                                                                                                                                ,Georgia Southern                                                                                                                                                                                                                                                ,USA                                                                                                                                                                                                                                                             ,50,195
51,Michael Cage                                                                                                                                                                                                                                                    ,San Diego State                                                                                                                                                                                                                                                 ,San Diego State                                                                                                                                                                                                                                                 ,USA                                                                                                                                                                                                                                                             ,51,205
